Comment,Description,Designator,Footprint,LibRef,Quantity

"C0805C474K4RACTU","CAP CER 0.47UF 16V 10% X7R 0805","C1","FP-C0805C-DN-MFG","CMP-2007-03296-2","1"
"C0805C105K4PACTU","","C2, C3","CAPC2013X145X50ML20T25","CMP-1036-04746-2","2"
"GRM188R60J106ME47D","Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 10uF, X5R, 15%, 20%, 6.3V","C4, C5, C7","FP-GRM188-0_1-e0_2_0_55-IPC_A","CMP-2006-02792-2","3"
"CAP 22uF 6.3V 1206(3216)","CAP 22uF 6.3V ¡Ó20% 1206 (3216 Metric) Thickness 1.9mm SMD","C6","CAPC1206(3216)190_L","CMP-1037-04986-1","1"
"C1206C104K1RACTU","CAP CER 0.1UF 100V X7R 1206","C8","FP-C1206C-EB-MFG","CMP-03020-000153-1","1"
"LTST-S270KGKT","LED GREEN CLEAR CHIP SMD R/A","D1, D2","FP-LTST-S270KGKT-MFG","CMP-2000-06629-2","2"
"LTST-S270KRKT","LED RED CLEAR CHIP SMD R/A","D3","FP-LTST-S270KRKT-MFG","CMP-2000-06630-2","1"
"LQH3NPN2R2MJRL","Wire Wound Ferrite Inductor for Power Lines 2.2£gH ¡Ó20% 0.0816£[ 2200mA 1212","L1","FP-LQH3NPN_JR-MFG","CMP-06042-014664-1","1"
"811-S1-006-30-015101","Conn Spring Piston 6POS SMD","P1","New footprint 1","CMP-002-00071-2","1"
"620102131822","Male Shrouded Header WR-WTB, SMT, Right Angled, pitch 2 mm, 1 x 2 position","P2","620102131822","CMP-1502-00669-1","1"
"811-S1-002-30-015101","Conn Spring Loaded Connector HDR 2 POS 2.54mm Solder ST SMD T/R","P3","811-S1-002-30-015101-Footprint-1","CMP-002-00073-2","1"
"ERJ-3EKF1001V","","R1, R8","RESC1608X55X30ML15T15","CMP-2000-00180-1","2"
"ERJ8BWFR010V","","R2","RESC3216X70X50NL05T20","CMP-2003-00764-1","1"
"ERJ3EKF1002V","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R3, R4, R5","RESC1609X55X30ML15T15","CMP-1012-00623-3","3"
"ERJ-3EKF1101V","","R6","RESC1608X55X30ML15T15","CMP-2000-00198-1","1"
"ERJ-3EKF5903V","","R7","RESC1608X55X30ML15T15","CMP-2000-00582-1","1"
"ERJ3EKF1800V","RES SMD 180 OHM 1% 1/10W 0603","R9","FP-ERJ3EK-MFG","CMP-2000-00293-2","1"
"SJUMPER3POS","3 pins solder jumper","SJ1","SJUMPER3POS-Footprint-1","CMP-001-0001-1","1"
"1825232-1","SWITCH SLIDE SPDT 200MA 30V","SW1","FP-1825232-1-MFG","CMP-03405-000001-1","1"
"BQ27441DRZT-G1A","IC BATT FUEL GAUGE LICOO2 12SON","U1","FP-DRZ0012A-MFG","CMP-04911-000005-1","1"
"BQ24075RGTR","IC LI-ION CHARGE MGMT 16-QFN","U2","FP-RGT0016C-IPC_A","CMP-0321-00238-3","1"
"TPS61201DRCT","Boost Voltage Converter with 0.3 to 5.5 V Input and 3.3 V Output, -40 to 85 degC, 10-Pin SON (DRC), Green (RoHS & no Sb/Br)","U3","DRC0010J_V","CMP-0343-00033-2","1"
